formula,cif_path,n_atoms,a_A,b_A,c_A,alpha_deg,beta_deg,gamma_deg,volume_A3,eform_eV_per_atom,eform_method,spg_number,spg_symbol,point_group,is_polar,in_top30,rank
GaPS3I,data/structures/GaPS3I/rank20_GaPS3I_N6_Eform-0.65642.cif,6,4.1046,6.4645,7.612,89.2272,89.0196,79.6524,198.653,-0.656421,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
InPS3I,data/structures/InPS3I/rank21_InPS3I_N6_Eform-0.64995.cif,6,5.1645,6.5484,6.6835,103.1351,97.1529,108.6639,203.717,-0.649954,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
InPS3I,data/structures/InPS3I/InPS3I_7_e2.5983.cif,6,5.1645,6.5484,6.6835,103.1351,97.1529,108.6639,203.717,-0.649954,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
GaPS3I,data/structures/GaPS3I/GaPS3I_8_e2.6519.cif,6,5.5988,5.5968,6.708,86.3707,87.8081,77.9894,205.117,-0.647071,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
GaPS3I,data/structures/GaPS3I/rank22_GaPS3I_N6_Eform-0.64707.cif,6,5.5988,5.5968,6.708,86.3707,87.8081,77.9894,205.117,-0.647071,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
BiPS3I,data/structures/BiPS3I/rank23_BiPS3I_N6_Eform-0.64484.cif,6,4.2906,6.5285,6.9314,90.008,89.8163,89.4963,194.148,-0.644842,M3GNet-Eform-MP-2019.4.1,6,Pm,m,True,False,
BiPS3I,data/structures/BiPS3I/rank11_BiPS3I_N6_Eform-0.64484.cif,6,4.2906,6.5285,6.9314,90.008,89.8163,89.4963,194.148,-0.644842,M3GNet-Eform-MP-2019.4.1,6,Pm,m,True,False,
BiPS3I,data/structures/BiPS3I/BiPS3I_3_e2.5311.cif,6,4.2906,6.5285,6.9314,90.008,89.8163,89.4963,194.148,-0.644842,M3GNet-Eform-MP-2019.4.1,6,Pm,m,True,True,11
ZnPS3I,data/structures/ZnPS3I/rank24_ZnPS3I_N6_Eform-0.64191.cif,6,5.5884,6.1509,6.2063,92.0184,91.3716,89.9574,213.14,-0.641907,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
ZnPS3I,data/structures/ZnPS3I/rank12_ZnPS3I_N6_Eform-0.64191.cif,6,5.5884,6.1509,6.2063,92.0184,91.3716,89.9574,213.14,-0.641907,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
ZnPS3I,data/structures/ZnPS3I/ZnPS3I_5_e2.3986.cif,6,5.5884,6.1509,6.2063,92.0184,91.3716,89.9574,213.14,-0.641907,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,True,12
ZnPS3I,data/structures/ZnPS3I/rank25_ZnPS3I_N6_Eform-0.64064.cif,6,5.3523,5.4701,6.3093,90.7844,89.1505,91.5496,184.618,-0.640636,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
ZnPS3I,data/structures/ZnPS3I/ZnPS3I_7_e2.3986.cif,6,5.3523,5.4701,6.3093,90.7844,89.1505,91.5496,184.618,-0.640636,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,True,13
ZnPS3I,data/structures/ZnPS3I/rank13_ZnPS3I_N6_Eform-0.64064.cif,6,5.3523,5.4701,6.3093,90.7844,89.1505,91.5496,184.618,-0.640636,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
PPbS3I,data/structures/PbPS3I/PbPS3I_6_e2.5106.cif,6,5.4726,5.4877,6.3523,89.7209,91.2393,93.358,190.4,-0.637772,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,True,14
PPbS3I,data/structures/PPbS3I/rank14_PPbS3I_N6_Eform-0.63777.cif,6,5.4726,5.4877,6.3523,89.7209,91.2393,93.358,190.4,-0.637772,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
